# distance__t_0.0,pdf__t_0.0,distance__t_0.384,pdf__t_0.384,distance__t_0.765,pdf__t_0.765,distance__t_1.146,pdf__t_1.146,distance__t_1.53,pdf__t_1.53
1.270770220114038384e-03,3.423438746992769399e+00,1.270770220114038384e-03,3.423438746992769399e+00,1.270770220114038384e-03,3.423438746992769399e+00,1.270770220114038384e-03,3.423438746992769399e+00,1.270770220114038384e-03,3.423438746992769399e+00
3.812310660342115368e-03,2.635981104359712557e+00,3.812310660342115368e-03,2.635981104359712557e+00,3.812310660342115368e-03,2.635981104359712557e+00,3.812310660342115368e-03,2.635981104359712557e+00,3.812310660342115368e-03,2.635981104359712557e+00
6.353851100570191701e-03,2.653072953355901209e+00,6.353851100570191701e-03,2.653072953355901209e+00,6.353851100570191701e-03,2.653072953355901209e+00,6.353851100570191701e-03,2.653072953355901209e+00,6.353851100570191701e-03,2.653072953355901209e+00
8.895391540798269769e-03,2.642046001564442026e+00,8.895391540798269769e-03,2.642046001564442026e+00,8.895391540798269769e-03,2.642046001564442026e+00,8.895391540798269769e-03,2.642046001564442026e+00,8.895391540798269769e-03,2.642046001564442026e+00
1.143693198102634437e-02,2.641526279608767513e+00,1.143693198102634437e-02,2.641526279608767513e+00,1.143693198102634437e-02,2.641526279608767513e+00,1.143693198102634437e-02,2.641526279608767513e+00,1.143693198102634437e-02,2.641526279608767513e+00
1.397847242125442244e-02,2.638298843123740411e+00,1.397847242125442244e-02,2.638298843123740411e+00,1.397847242125442244e-02,2.638298843123740411e+00,1.397847242125442244e-02,2.638298843123740411e+00,1.397847242125442244e-02,2.638298843123740411e+00
1.652001286148249704e-02,2.633880100709115268e+00,1.652001286148249704e-02,2.633880100709115268e+00,1.652001286148249704e-02,2.633880100709115268e+00,1.652001286148249704e-02,2.633880100709115268e+00,1.652001286148249704e-02,2.633880100709115268e+00
1.906155330171057510e-02,2.629128146487441420e+00,1.906155330171057510e-02,2.629128146487441420e+00,1.906155330171057510e-02,2.629128146487441420e+00,1.906155330171057510e-02,2.629128146487441420e+00,1.906155330171057510e-02,2.629128146487441420e+00
2.160309374193865317e-02,2.627720105444407928e+00,2.160309374193865317e-02,2.627720105444407928e+00,2.160309374193865317e-02,2.627720105444407928e+00,2.160309374193865317e-02,2.627720105444407928e+00,2.160309374193865317e-02,2.627720105444407928e+00
2.414463418216673124e-02,2.626546492177129544e+00,2.414463418216673124e-02,2.626546492177129544e+00,2.414463418216673124e-02,2.626546492177129544e+00,2.414463418216673124e-02,2.626546492177129544e+00,2.414463418216673124e-02,2.626546492177129544e+00
2.668617462239480584e-02,2.628173479916379396e+00,2.668617462239480584e-02,2.628173479916379396e+00,2.668617462239480584e-02,2.628173479916379396e+00,2.668617462239480584e-02,2.628173479916379396e+00,2.668617462239480584e-02,2.628173479916379396e+00
2.922771506262288391e-02,2.627258621835539376e+00,2.922771506262288391e-02,2.627258621835539376e+00,2.922771506262288391e-02,2.627258621835539376e+00,2.922771506262288391e-02,2.627258621835539376e+00,2.922771506262288391e-02,2.627258621835539376e+00
3.176925550285096544e-02,2.624278145428742270e+00,3.176925550285096544e-02,2.624278145428742270e+00,3.176925550285096544e-02,2.624278145428742270e+00,3.176925550285096544e-02,2.624278145428742270e+00,3.176925550285096544e-02,2.624278145428742270e+00
3.431079594307903657e-02,2.621868994576062928e+00,3.431079594307903657e-02,2.621868994576062928e+00,3.431079594307903657e-02,2.621868994576062928e+00,3.431079594307903657e-02,2.621868994576062928e+00,3.431079594307903657e-02,2.621868994576062928e+00
3.685233638330710770e-02,2.617893305913711721e+00,3.685233638330710770e-02,2.617893305913711721e+00,3.685233638330710770e-02,2.617893305913711721e+00,3.685233638330710770e-02,2.617893305913711721e+00,3.685233638330710770e-02,2.617893305913711721e+00
