# omega_z*kolmogorov_time,angle_z
-1.937500000000000000e+00,-6.140846935725962075e-01
-1.812500000000000000e+00,-8.543150750537464866e-01
-1.687500000000000000e+00,-7.003553843206158369e-01
-1.562500000000000000e+00,-8.634322327202232916e-01
-1.437500000000000000e+00,-1.133735347883667588e+00
-1.312500000000000000e+00,-8.314071879032083334e-01
-1.187500000000000000e+00,-7.319287476422431382e-01
-1.062500000000000000e+00,-7.785831958283001564e-01
-9.375000000000000000e-01,-8.191374621359770458e-01
-8.125000000000000000e-01,-7.721862775606793683e-01
-6.875000000000000000e-01,-7.736271827825428327e-01
-5.625000000000000000e-01,-7.085528923638543253e-01
-4.375000000000000000e-01,-6.658922468636089276e-01
-3.125000000000000000e-01,-5.925804538798863375e-01
-1.875000000000000000e-01,-4.720968135373169172e-01
-6.250000000000000000e-02,-1.912680636461726313e-01
6.250000000000000000e-02,1.858664884369504444e-01
1.875000000000000000e-01,4.621215903872716857e-01
3.125000000000000000e-01,6.035537483131507841e-01
4.375000000000000000e-01,6.844872435279009126e-01
5.625000000000000000e-01,7.113548406323147999e-01
6.875000000000000000e-01,7.488871974523316766e-01
8.125000000000000000e-01,6.919709225262460350e-01
9.375000000000000000e-01,6.691345222195211884e-01
1.062500000000000000e+00,6.487566128210802141e-01
1.187500000000000000e+00,6.440184279193880146e-01
1.312500000000000000e+00,6.510309819232509287e-01
1.437500000000000000e+00,7.457228503152824040e-01
1.562500000000000000e+00,8.962210411742619343e-01
1.687500000000000000e+00,7.274578006919851791e-01
1.812500000000000000e+00,6.012475571764798188e-01
1.937500000000000000e+00,1.153153704079125541e+00
