# duxdy*kolmogorov_time,n_y
-1.937500000000000000e+00,-2.641247264528154802e-03
-1.812500000000000000e+00,-1.113301008328642337e-02
-1.687500000000000000e+00,-5.377785369925021548e-03
-1.562500000000000000e+00,-4.899570105631840741e-03
-1.437500000000000000e+00,-6.408038691931381564e-03
-1.312500000000000000e+00,-3.808341152224222186e-03
-1.187500000000000000e+00,-3.409135595578747114e-03
-1.062500000000000000e+00,-2.681025432350095036e-03
-9.375000000000000000e-01,-3.044263205732356675e-03
-8.125000000000000000e-01,-2.577437912197597970e-03
-6.875000000000000000e-01,-2.055967650572971053e-03
-5.625000000000000000e-01,-1.561436210790556481e-03
-4.375000000000000000e-01,-1.258168894592722430e-03
-3.125000000000000000e-01,-9.764482138083134879e-04
-1.875000000000000000e-01,-6.947256320450484468e-04
-6.250000000000000000e-02,-2.596460926365497311e-04
6.250000000000000000e-02,2.655758023267348802e-04
1.875000000000000000e-01,7.332442167859131972e-04
3.125000000000000000e-01,1.157626090469908832e-03
4.375000000000000000e-01,1.496246182297350296e-03
5.625000000000000000e-01,1.786760373695066078e-03
6.875000000000000000e-01,2.089747467572999288e-03
8.125000000000000000e-01,2.402824173630325414e-03
9.375000000000000000e-01,2.390263691262546879e-03
1.062500000000000000e+00,2.441284611122320879e-03
1.187500000000000000e+00,2.995298110850803334e-03
1.312500000000000000e+00,2.972375857212927568e-03
1.437500000000000000e+00,4.152414969178492773e-03
1.562500000000000000e+00,3.943837311320116772e-03
1.687500000000000000e+00,2.334151235431919207e-03
1.812500000000000000e+00,1.515046476063610552e-03
1.937500000000000000e+00,6.325606819558594711e-03
