# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
-1.114062500000000000e+01,6.391744296728377314e-04,2.972220493305130062e-03,3.722893085909969365e-03,3.410404890200442567e-03,8.462782214187957374e-04,3.807979187486658541e-03,2.791706336861481987e-03,3.091024748708131892e-03,1.016809222065530923e-03
-1.042187500000000000e+01,1.087813149728334089e-03,4.189270665802752487e-03,5.100064093319462040e-03,4.782322850178968333e-03,1.324241532575531292e-03,5.321262152045409463e-03,3.977359136454146349e-03,4.284427787795771700e-03,1.531551867065914429e-03
-9.703125000000000000e+00,1.866532198749892152e-03,5.932842660743924655e-03,6.926832061282973442e-03,6.669811223753134392e-03,2.202059173070532432e-03,7.258979660566271426e-03,5.585828708619253700e-03,5.879755150113304130e-03,2.310954203016939244e-03
-8.984375000000000000e+00,3.121649881492040163e-03,8.298590479713026033e-03,9.139774388319085036e-03,9.037513065696268361e-03,3.431787738472957209e-03,9.834615666373336396e-03,7.756129026560526843e-03,8.049367386172130712e-03,3.572761399900964592e-03
-8.265625000000000000e+00,4.839678359885890221e-03,1.136622539812912405e-02,1.212313962902952617e-02,1.214115853753735576e-02,5.226048171226407683e-03,1.319484058381826044e-02,1.049592208310166225e-02,1.104841017780921336e-02,5.463433248341186335e-03
-7.546875000000000000e+00,7.470715633101052654e-03,1.555897544219595266e-02,1.620154712953319337e-02,1.620107654055301730e-02,7.899780561669912313e-03,1.751814515141298170e-02,1.439835085909402408e-02,1.519542395286921019e-02,8.198841131680796590e-03
-6.828125000000000000e+00,1.138579190339016056e-02,2.057669713313596896e-02,2.149045264158020926e-02,2.138420007495103053e-02,1.173927821823216727e-02,2.289792810034035897e-02,1.944430911882377710e-02,2.021311310759638102e-02,1.211778776797245612e-02
-6.109375000000000000e+00,1.678847562770275845e-02,2.707056004499890089e-02,2.782430353734683878e-02,2.798055454604092551e-02,1.717430696025719003e-02,2.954120625974286651e-02,2.634012690392211961e-02,2.657777452741160590e-02,1.781307214026801172e-02
-5.390625000000000000e+00,2.454058142907749110e-02,3.487639107409837291e-02,3.598110197451363096e-02,3.589576492879397590e-02,2.470052954268531220e-02,3.765549746379982105e-02,3.498493764959888924e-02,3.514446413152145371e-02,2.543881442729244158e-02
-4.671875000000000000e+00,3.459635059490592801e-02,4.463217226609286076e-02,4.560424057294843597e-02,4.547222240550122252e-02,3.425776161320851637e-02,4.707832835986131698e-02,4.532983303017181637e-02,4.518179044392045540e-02,3.502418087578368366e-02
-3.953125000000000000e+00,4.681884924320184327e-02,5.548088406169522646e-02,5.656254129834236560e-02,5.681881992315686303e-02,4.714730472365977199e-02,5.769223748218342551e-02,5.749474526601288521e-02,5.694249846467061560e-02,4.725957996612141498e-02
-3.234375000000000000e+00,6.262592198901695273e-02,6.810688388002669735e-02,6.960646015321270141e-02,6.948490076793926995e-02,6.259229416064543416e-02,6.937437499143526975e-02,7.009274396153555853e-02,6.985978779243011416e-02,6.287371256567654554e-02
-2.515625000000000000e+00,8.104083500701873832e-02,8.102578774065927192e-02,8.228834196819474756e-02,8.221128887199945223e-02,8.005294771831043821e-02,8.065919776493626903e-02,8.402520744561407795e-02,8.273300509091859045e-02,8.083592251130772288e-02
-1.796875000000000000e+00,1.002613472279026835e-01,9.379741738780056348e-02,9.433303493056968692e-02,9.384297264525862103e-02,9.991519279877693338e-02,9.099869232911281247e-02,9.673266366475047340e-02,9.458531135735334661e-02,1.000369254051120954e-01
-1.078125000000000000e+00,1.194530925741408844e-01,1.044156961567602876e-01,1.026562094629312610e-01,1.021625847414300986e-01,1.195333910780336517e-01,9.899401156519183065e-02,1.055326793267349211e-01,1.043352356133353392e-01,1.186028703946955115e-01
-3.593750000000000000e-01,1.342664580818127840e-01,1.110067925509936743e-01,1.077473437754382923e-01,1.069487434010309573e-01,1.338172733018007654e-01,1.031895767666220071e-01,1.103871711514013004e-01,1.101251252095066663e-01,1.324779641186096812e-01
3.593750000000000000e-01,1.421731325722301875e-01,1.117583872706421205e-01,1.077690522471260182e-01,1.070143211378433989e-01,1.414403448229460125e-01,1.035415208897746964e-01,1.098548711799075400e-01,1.109784461957319252e-01,1.401498761505574620e-01
1.078125000000000000e+00,1.420592978651767646e-01,1.068867011032256509e-01,1.020057421601615333e-01,1.019090979528965435e-01,1.409707294756029627e-01,9.917176046848021065e-02,1.047237342145594385e-01,1.066021039746015142e-01,1.389471960548551155e-01
1.796875000000000000e+00,1.310873699406025494e-01,9.753979623838755775e-02,9.319323944433238749e-02,9.335122119259804674e-02,1.298815468968123887e-01,9.121398538888446372e-02,9.517882398059299143e-02,9.653117364833158076e-02,1.281206127982986720e-01
2.515625000000000000e+00,1.109220796815723470e-01,8.519644676201044986e-02,8.202673627705585335e-02,8.228500481039947856e-02,1.093047241582675716e-01,8.071972163005172729e-02,8.346381758162282893e-02,8.397339003819752346e-02,1.079883726227762464e-01
3.234375000000000000e+00,8.429469060944651260e-02,7.150997673187640957e-02,6.929772159703434520e-02,7.007286886560412653e-02,8.364371403598744315e-02,6.920209034390115144e-02,7.048446549461426236e-02,7.026874912335240309e-02,8.275231257154758158e-02
3.953125000000000000e+00,5.711339673877300488e-02,5.801964527713359548e-02,5.715198977635888022e-02,5.776016642693533598e-02,5.757947828098185922e-02,5.839970381730460319e-02,5.765823960522926950e-02,5.735059028623681193e-02,5.825880288514999339e-02
4.671875000000000000e+00,3.479965513523561316e-02,4.587211430726531591e-02,4.570130058957366098e-02,4.675935752128663331e-02,3.611379277589602671e-02,4.788586625589961315e-02,4.585758599632067806e-02,4.542928294839872899e-02,3.752230501823947129e-02
5.390625000000000000e+00,1.922619652523695905e-02,3.515836793644293301e-02,3.601844854037359461e-02,3.681245463689029884e-02,2.056323682483449447e-02,3.846086804509035728e-02,3.574788011477956357e-02,3.510932714043478453e-02,2.193765683219468104e-02
6.109375000000000000e+00,1.000207484232024276e-02,2.632545219906499978e-02,2.800176713501499604e-02,2.867867163696923363e-02,1.058658232547763159e-02,3.012115750546189713e-02,2.703549620727113689e-02,2.661070314646795873e-02,1.161157983494934091e-02
6.828125000000000000e+00,4.853767320399006088e-03,1.973395284728744065e-02,2.142355468814922601e-02,2.202147575831826798e-02,5.169755619481171058e-03,2.297589617997718853e-02,2.025410444708036425e-02,1.987102450035799564e-02,5.470851088957196309e-03
7.546875000000000000e+00,2.159492867108030612e-03,1.437094742833192225e-02,1.625869223268312444e-02,1.622378364601607253e-02,2.395592703241829994e-03,1.729410682520094930e-02,1.495631807813430775e-02,1.454083903488621529e-02,2.453220220009490540e-03
8.265625000000000000e+00,1.010080281221311434e-03,1.036459608286068729e-02,1.212057687317846279e-02,1.153155496866416913e-02,1.100232541968256981e-03,1.262280676372135209e-02,1.095883551686836939e-02,1.069459121276691849e-02,9.722394328177792972e-04
8.984375000000000000e+00,4.615503347356220035e-04,7.477974716520739522e-03,8.746152655294563497e-03,8.491865959258451668e-03,4.602938628188534931e-04,9.362736788663863358e-03,7.847252322110037301e-03,7.740408629223519479e-03,3.780551700521553793e-04
9.703125000000000000e+00,2.062225905059249925e-04,5.380237848689379578e-03,6.342778421541167728e-03,6.280009439349066268e-03,1.752826765748007618e-04,6.794809289983129268e-03,5.392674294998564717e-03,5.577641566812203446e-03,1.201525540872291399e-04
1.042187500000000000e+01,9.036400448947716718e-05,3.812728057888691707e-03,4.583986460258441566e-03,4.484473602169252067e-03,4.387033854664797573e-05,4.890961786925820606e-03,3.799621216810615890e-03,3.998954099414303923e-03,3.950463625361012084e-05
1.114062500000000000e+01,4.170918623108102897e-05,2.589615582307618763e-03,3.354328025478044758e-03,3.183680856866042460e-03,1.469497260453989208e-05,3.629482361836607399e-03,2.720913905930804916e-03,2.780607338740251171e-03,6.428710429104475154e-06
