# value,p_u_x,p_u_y,p_u_z
-8.137499999999999734e-01,1.307011975577378193e-01,1.403434740306735706e-01,1.130566275078753319e-01
-7.612499999999999822e-01,1.655473718578677478e-01,1.789368337541837606e-01,1.530928166900120679e-01
-7.087499999999999911e-01,2.100464142015130431e-01,2.260117459180946142e-01,2.010406271558122793e-01
-6.562500000000000000e-01,2.598142413085364200e-01,2.796361975985964810e-01,2.575227318175102864e-01
-6.037500000000000089e-01,3.233002478769174681e-01,3.448488722474232770e-01,3.231919780104027806e-01
-5.512499999999999067e-01,3.939857295153477712e-01,4.175890975474882416e-01,4.003236221723704968e-01
-4.987499999999999156e-01,4.706961409813931185e-01,4.910032816323262606e-01,4.815380391555994510e-01
-4.462499999999999800e-01,5.485679916823028579e-01,5.678284039076422207e-01,5.637693003120520796e-01
-3.937499999999999889e-01,6.281844170524787385e-01,6.475988995575837626e-01,6.492413428362360239e-01
-3.412499999999999423e-01,7.078273096976497314e-01,7.207379048005807531e-01,7.332612099408128969e-01
-2.887499999999999512e-01,7.847766526972985712e-01,7.944753913361937148e-01,8.208929207814560369e-01
-2.362499999999999600e-01,8.650630674482520099e-01,8.594577500966282813e-01,8.990765414695960356e-01
-1.837499999999999689e-01,9.268482302789671223e-01,9.163484942189574767e-01,9.653659275599181244e-01
-1.312499999999999778e-01,9.795710447623027228e-01,9.615452669710606859e-01,1.015291205276762421e+00
-7.874999999999998668e-02,1.018098318108437317e+00,9.949020380748593295e-01,1.041983497902021272e+00
-2.624999999999999556e-02,1.042089761090269739e+00,1.013171673701328324e+00,1.048053584148213702e+00
2.624999999999999556e-02,1.044943901772985129e+00,1.009499696871660301e+00,1.038957107484430153e+00
7.874999999999998668e-02,1.026674119593028900e+00,9.940559862117763767e-01,1.020424488487631454e+00
1.312499999999999778e-01,9.959623783124400553e-01,9.605770798330368621e-01,9.858837170979305453e-01
1.837500000000000244e-01,9.451937946408693891e-01,9.128973425316764256e-01,9.309617286933989933e-01
2.362500000000000711e-01,8.777331522672761066e-01,8.497702963034523549e-01,8.640553435888087552e-01
2.887500000000000622e-01,8.031472742177626634e-01,7.826845617488527029e-01,7.865000083995142832e-01
3.412500000000000533e-01,7.262115368883881317e-01,7.010831645875565954e-01,6.992606310627815791e-01
3.937500000000000444e-01,6.441526782995561362e-01,6.266905221451252173e-01,6.213395103470742420e-01
4.462500000000000355e-01,5.576506025994056870e-01,5.534452147755286600e-01,5.419616978171063471e-01
4.987500000000000266e-01,4.766445784847323508e-01,4.826585310300027243e-01,4.616247531054317177e-01
5.512500000000000178e-01,4.002394718740700519e-01,4.118360922142136338e-01,3.847595808787365734e-01
6.037500000000000089e-01,3.324226796604219381e-01,3.489254536771622117e-01,3.151525937564956803e-01
6.562500000000000000e-01,2.675231752880914415e-01,2.872741410545153196e-01,2.550706989138534220e-01
7.087499999999999911e-01,2.111051116046460951e-01,2.368506635524093296e-01,2.035674220676419177e-01
7.612499999999999822e-01,1.611782399133216137e-01,1.872271607175505503e-01,1.552565078316900105e-01
8.137499999999999734e-01,1.217182160847830458e-01,1.477078149709136756e-01,1.161412853498757086e-01
