# omega_z*kolmogorov_time,angle_z
-1.937500000000000000e+00,5.245683732424576418e-01
-1.812500000000000000e+00,5.111827496696751405e-01
-1.687500000000000000e+00,3.368639427027095290e-01
-1.562500000000000000e+00,1.384001644853828372e-01
-1.437500000000000000e+00,2.280892239060840765e-01
-1.312500000000000000e+00,2.038945066499521785e-01
-1.187500000000000000e+00,1.821517142918197274e-01
-1.062500000000000000e+00,2.053816617017934498e-01
-9.375000000000000000e-01,2.519588360534415483e-01
-8.125000000000000000e-01,2.477873135891707213e-01
-6.875000000000000000e-01,3.362863547018514199e-01
-5.625000000000000000e-01,3.746186894843594462e-01
-4.375000000000000000e-01,3.756698802480802901e-01
-3.125000000000000000e-01,3.164309938829767965e-01
-1.875000000000000000e-01,2.031729792120720024e-01
-6.250000000000000000e-02,6.591627613646136585e-02
6.250000000000000000e-02,-7.239597428627402020e-02
1.875000000000000000e-01,-1.767836166548340804e-01
3.125000000000000000e-01,-2.688665147516043352e-01
4.375000000000000000e-01,-3.433011335167051592e-01
5.625000000000000000e-01,-3.504085767076619007e-01
6.875000000000000000e-01,-3.428243750556278502e-01
8.125000000000000000e-01,-2.985655759624720185e-01
9.375000000000000000e-01,-3.441552857818869215e-01
1.062500000000000000e+00,-3.563243329684532279e-01
1.187500000000000000e+00,-3.552458691403970747e-01
1.312500000000000000e+00,-2.588986246896699539e-01
1.437500000000000000e+00,-2.023207285145094958e-01
1.562500000000000000e+00,-3.663246376082838207e-01
1.687500000000000000e+00,-2.596366633189681195e-01
1.812500000000000000e+00,-6.147860924433975471e-01
1.937500000000000000e+00,-5.014490892769897235e-01
