# omega_z*kolmogorov_time,n_x
-1.937500000000000000e+00,7.819223998432741577e-04
-1.812500000000000000e+00,7.075270590031437377e-04
-1.687500000000000000e+00,5.621198717654600887e-04
-1.562500000000000000e+00,5.927975458182311577e-04
-1.437500000000000000e+00,7.133348352085355087e-04
-1.312500000000000000e+00,8.701185596564502177e-04
-1.187500000000000000e+00,1.041708760885409930e-03
-1.062500000000000000e+00,9.759505768953028555e-04
-9.375000000000000000e-01,9.978808106275002723e-04
-8.125000000000000000e-01,1.170351710646682156e-03
-6.875000000000000000e-01,1.199894062395041134e-03
-5.625000000000000000e-01,1.356787319041154747e-03
-4.375000000000000000e-01,1.433770347298616524e-03
-3.125000000000000000e-01,1.788401846567828002e-03
-1.875000000000000000e-01,2.156594805755961044e-03
-6.250000000000000000e-02,2.340147418312136553e-03
6.250000000000000000e-02,2.221605429342589019e-03
1.875000000000000000e-01,1.915806588845185218e-03
3.125000000000000000e-01,1.574180051571949512e-03
4.375000000000000000e-01,1.341625434461651703e-03
5.625000000000000000e-01,1.159257817130844668e-03
6.875000000000000000e-01,1.032217194951488967e-03
8.125000000000000000e-01,9.100583074797241297e-04
9.375000000000000000e-01,7.859436730188526640e-04
1.062500000000000000e+00,7.034103739242213551e-04
1.187500000000000000e+00,6.285784329285030222e-04
1.312500000000000000e+00,6.244638631924511255e-04
1.437500000000000000e+00,6.496140427923535006e-04
1.562500000000000000e+00,5.857901262440591388e-04
1.687500000000000000e+00,6.753322610068781704e-04
1.812500000000000000e+00,7.618103244747715134e-04
1.937500000000000000e+00,6.087416684510195712e-04
