# omega_z*kolmogorov_time,n_y
-1.937500000000000000e+00,4.524545413720866202e-04
-1.812500000000000000e+00,3.968608106213675213e-04
-1.687500000000000000e+00,1.968612959648402257e-04
-1.562500000000000000e+00,8.257115829486906717e-05
-1.437500000000000000e+00,1.655855096806810366e-04
-1.312500000000000000e+00,1.799124974172175038e-04
-1.187500000000000000e+00,1.918758441222350711e-04
-1.062500000000000000e+00,2.033090580611610640e-04
-9.375000000000000000e-01,2.568839773281687659e-04
-8.125000000000000000e-01,2.960829440994669818e-04
-6.875000000000000000e-01,4.194397772038102818e-04
-5.625000000000000000e-01,5.334701187135648844e-04
-4.375000000000000000e-01,5.654796742621633803e-04
-3.125000000000000000e-01,5.855819911987595206e-04
-1.875000000000000000e-01,4.442920303552695617e-04
-6.250000000000000000e-02,1.544776010249039502e-04
6.250000000000000000e-02,-1.611168686190850188e-04
1.875000000000000000e-01,-3.422561154127383778e-04
3.125000000000000000e-01,-4.337467590087849042e-04
4.375000000000000000e-01,-4.795713065746206498e-04
5.625000000000000000e-01,-4.236989732516522516e-04
6.875000000000000000e-01,-3.684167450988737585e-04
8.125000000000000000e-01,-2.800843344300831244e-04
9.375000000000000000e-01,-2.816971633700786110e-04
1.062500000000000000e+00,-2.618179216677522813e-04
1.187500000000000000e+00,-2.331930532484457477e-04
1.312500000000000000e+00,-1.653846142949403828e-04
1.437500000000000000e+00,-1.332535534629822110e-04
1.562500000000000000e+00,-2.247330428753719180e-04
1.687500000000000000e+00,-1.793902172263243868e-04
1.812500000000000000e+00,-5.378890288341912733e-04
1.937500000000000000e+00,-3.337033842805574887e-04
